Commune,Station,Latitude,Longitude,Z_CC49
Gouville-sur-Mer,SW47,49.10809851,-1.60707666,"5,648"
Pirou,SW39,49.16944491,-1.59890577,"4,236"
Saint-Germain-sur-Ay,SW29,49.22546416,-1.64368706,"5,077"
Bretteville-sur-Ay,SW26,49.24225094,-1.6540937,"4,27"
Bretteville-sur-Ay,SW24,49.25375625,-1.65833856,"3,986"
Portbail,SW15,49.32765948,-1.72471475,"4,229"
Barneville-Carteret,SW03,49.37039485,-1.79040768,"4,132"
Urville-Nacqueville,SN40,49.67788492,-1.72675951,"3,403"
R�ville,SNE22,49.61206836,-1.24790477,"4,61"
Saint-Vaast-la-Hougue,SE21,49.6069848,-1.25700135,"5,296"
Montmartin-sur-Mer,SW66,48.99313717,-1.55918455,"4,501"
Cr�ances,SW34,49.20511805,-1.60318158,"5,897"
Cr�ances,SW35,49.19839471,-1.60685652,"4,815"
Pirou,SW36,49.19161798,-1.60526349,"4,965"
Gouville-sur-Mer,SW48,49.10215822,-1.60910032,"2,238"
Gouville-sur-Mer,SW49,49.09679338,-1.61020933,"3,794"
Gouville-sur-Mer,SW51,49.08398453,-1.6104831,"3,656"
Blainville-sur-Mer,SW52,49.07601782,-1.61031693,"5,691"
Agon-Coutainville,SW56,49.05024437,-1.60198282,"3,547"
Agon-Coutainville,SW57,49.04589311,-1.60072317,"4,417"
Agon-Coutainville,SW59,49.03767707,-1.59890477,"3,474"
Agon-Coutainville,SW60,49.03148035,-1.59719315,"3,288"
Agon-Coutainville,SW62,49.01530442,-1.59039953,"4,64"
Agon-Coutainville,SW63,49.00553015,-1.58560425,"2,972"
Agon-Coutainville,SW64,48.99975254,-1.5782778,"4,211"
Pirou,SW37,49.18323123,-1.60211039,"3,873"
Pirou,SW38,49.17537602,-1.60070996,"4,093"
Pirou,SW40,49.16445247,-1.59804184,"7,555"
Pirou,SW41,49.1597466,-1.59728438,"6,824"
Pirou,SW42,49.15353145,-1.59689964,"6,32"
Pirou,SW43,49.14525842,-1.59609098,"5,772"
Anneville-sur-Mer,SW44,49.13016554,-1.59580929,"6,262"
Anneville-sur-Mer,SW45,49.12018499,-1.59973092,"4,907"
Anneville-sur-Mer,SW46,49.11439777,-1.60319433,"5,46"
Agon-Coutainville,SW58,49.04142923,-1.59993389,"6,664"
Agon-Coutainville,SW61,49.02539738,-1.59492653,"7,441"
Saint-Germain-sur-Ay,SW31,49.2138885,-1.63109063,"7,261"
Saint-Germain-sur-Ay,SW30,49.21962999,-1.63820928,"7,019"
Baubigny,SNW56,49.42739955,-1.82261234,"7,099"
Surtainville,SNW55,49.45546284,-1.82729316,"5,963"
Surtainville,SNW54,49.46030618,-1.82986846,"6,151"
Surtainville,SNW53,49.46631437,-1.83419585,"7,932"
Saint-Germain-sur-Ay,SW28,49.22900084,-1.64655022,"6,933"
Bretteville-sur-Ay,SW27,49.2364683,-1.65078452,"8,212"
Bretteville-sur-Ay,SW25,49.24727462,-1.65624482,"5,756"
Glatigny,SW23,49.26741683,-1.66637051,"7,727"
Surville,SW22,49.2761314,-1.67476426,"8,462"
Surville,SW21,49.28039476,-1.67846395,"7,765"
Saint-R�my-des-Landes,SW20,49.28868164,-1.68601242,"6,612"
Denneville,SW19,49.29945539,-1.69390294,"7,53"
Denneville,SW18,49.30782686,-1.69941069,"5,264"
Saint-L�-d'Ourville,SW163,49.31899424,-1.70816244,"5,107"
Saint-L�-d'Ourville,SW161,49.32641065,-1.70929386,"7,833"
Portbail,SW16,49.32526203,-1.72031841,"6,323"
Portbail,SW14,49.32972137,-1.72727089,"6,762"
Portbail,SW13,49.33359061,-1.73047156,"7,483"
Portbail,SW12,49.33591579,-1.73270782,"5,808"
Portbail,SW11,49.33807215,-1.73478572,"6,159"
Portbail,SW10,49.34193918,-1.73851584,"5,369"
Portbail,SW09,49.3481322,-1.74587524,"7,708"
Saint-Georges-de-la-Rivi�re,SW08,49.3530906,-1.75245325,0
Saint-Jean-de-la-Rivi�re,SW07,49.35986585,-1.76071312,"6,636"
Barneville-Carteret,SW06,49.36389295,-1.76594197,"7,409"
Barneville-Carteret,SW05,49.36802291,-1.77241588,"6,859"
Barneville-Carteret,SW04,49.37211254,-1.78038154,"7,205"
Les Moitiers-d'Allonne,SNW57,49.38488463,-1.8155903,"8,635"
Urville-Nacqueville,SN42,49.67835567,-1.74747409,"7,58"
Urville-Nacqueville,SN41,49.67759591,-1.73689427,"8,091"
Tourlaville,SN37,49.65399537,-1.55652389,"6,447"
Fermanville,SN35,49.69123965,-1.4550355,"7,971"
Fermanville,SN34,49.69221805,-1.44938642,"6,525"
R�ville,SNE26,49.63718317,-1.23584458,"8,487"
R�ville,SNE25,49.62597586,-1.23086495,"6,081"
R�ville,SNE24,49.61505802,-1.22842379,"6,086"
R�ville,SNE23,49.60790815,-1.23439864,"6,466"
Saint-Vaast-la-Hougue,SE19,49.5871139,-1.28377162,"7,819"
Morsalines,SE18,49.57898368,-1.30014654,"8,348"
Le Rozel,SNW52,49.48003294,-1.84482942,"7,622"
Le Rozel,SNW51,49.49276701,-1.84507373,"7,758"
Les Pieux,SNW50,49.50198062,-1.84757444,"7,063"
Les Pieux,SNW49,49.50739817,-1.85005235,"6,625"
Siouville-Hague,SNW48,49.56616051,-1.84469014,"6,917"
Siouville-Hague,SNW47,49.56960464,-1.84343225,"6,122"
Vasteville,SNW46,49.59179793,-1.84218529,"7,191"
Vauville,SNW45,49.62438403,-1.84689016,"5,829"
Vauville,SNW44,49.63649709,-1.85192891,"7,008"
Vauville,SNW43,49.64024569,-1.85423145,"8,135"
Montfarville,SNE27,49.65533883,-1.24229364,"6,498"
Montfarville,SNE28,49.66453852,-1.25462571,"6,128"
Sainte-Marie-du-Mont,SE01,49.39234837,-1.15910776,"5,059"
Sainte-Marie-du-Mont,SE02,49.41221721,-1.17057918,"5,756"
Sainte-Marie-du-Mont,SE03,49.41790897,-1.17627581,"9,132"
Sainte-Marie-du-Mont,SE05,49.42444809,-1.18338904,"6,92"
Saint-Martin-de-Varreville,SE06,49.43582889,-1.19697808,"8,162"
Saint-Germain-de-Varreville,SE07,49.44935818,-1.21455229,"4,566"
Ravenoville,SE08,49.46565119,-1.23355743,
Ravenoville,SE09,49.47969452,-1.25072562,"2,522"
Saint-Marcouf,SE10,49.49142074,-1.26221694,"5,634"
Saint-Marcouf,SE11,49.50319022,-1.27304728,"5,063"
Quin�ville,SE12,49.51380139,-1.28402097,"5,33"
Lestre,SE13,49.52276627,-1.29162114,"7,12"
Morsalines,SE17,49.56950135,-1.30587581,"5,349"
Crasville,SE16,49.5529898,-1.30846011,"6,949"
Aumeville-Lestre,SE15,49.53875292,-1.30611603,"7,785"
Bricqueville-sur-Mer,SW75,48.93014201,-1.55848372,"7,173"
Br�ville-sur-Mer,SW85,48.8746005,-1.57450673,"6,453"
Dragey-Ronthon,SW106,48.70366272,-1.5155785,
Dragey-Ronthon,SW105,48.71121506,-1.51630208,"5,341"
Saint-Jean-le-Thomas,SW103,48.72492651,-1.52626619,"4,826"
Saint-Jean-le-Thomas,SW102,48.73022913,-1.52989558,"7,314"
Jullouville,SW98,48.76907059,-1.57068479,"6,421"
Jullouville,SW97,48.77984045,-1.56984197,"9,965"
Jullouville,SW96,48.7866051,-1.56966554,"8,483"
Saint-Pair-sur-Mer,SW95,48.79416574,-1.5702755,"6,595"
Saint-Pair-sur-Mer,SW94,48.8018832,-1.56975558,"6,703"
Saint-Pair-sur-Mer,SW93,48.81130478,-1.57224805,"7,483"
Granville,SW92,48.81776669,-1.57321831,"9,023"
Granville,SW91,48.82099687,-1.57425713,"7,146"
Donville-les-Bains,SW89,48.84924429,-1.58490092,"4,442"
Donville-les-Bains,SW88,48.85656487,-1.58099603,"6,469"
Br�ville-sur-Mer,SW86,48.8678981,-1.57609009,"6,239"
Br�ville-sur-Mer,SW84,48.8810689,-1.57313344,"8,152"
Coudeville-sur-Mer,SW83,48.88912638,-1.57171483,"5,66"
Br�hal,SW82,48.89280094,-1.5710555,"9,475"
Br�hal,SW81,48.89879703,-1.5699237,"8,123"
Br�hal,SW80,48.9036186,-1.56900441,"6,783"
Br�hal,SW79,48.90718101,-1.56766901,"7,863"
Bricqueville-sur-Mer,SW78,48.91553536,-1.56595091,"8,162"
Bricqueville-sur-Mer,SW77,48.92126732,-1.56510093,"8,439"
Lingreville,SW74,48.93890419,-1.56027945,"7,078"
Lingreville,SW73,48.94274439,-1.56298207,"9,128"
Lingreville,SW72,48.95091656,-1.56217439,"5,488"
Annoville,SW71,48.95788036,-1.56215878,"6,426"
Annoville,SW70,48.96819968,-1.56192169,"8,211"
Hauteville-sur-Mer,SW69,48.97431243,-1.56247442,"8,934"
Hauteville-sur-Mer,SW68,48.97974284,-1.56217616,
